case_id,activity,timestamp
1,t1,2023-11-19 14:38:05
1,t2,2023-11-19 14:38:06
1,t3,2023-11-19 14:38:07
1,t4,2023-11-19 14:38:08
2,t5,2023-11-19 14:38:09
2,t1,2023-11-19 14:38:10
2,t6,2023-11-19 14:38:11
2,t7,2023-11-19 14:38:12
2,t8,2023-11-19 14:38:13
3,t9,2023-11-19 14:38:14
3,t4,2023-11-19 14:38:15
3,t10,2023-11-19 14:38:16
3,t11,2023-11-19 14:38:17
3,t12,2023-11-19 14:38:18
3,t5,2023-11-19 14:38:19
3,t1,2023-11-19 14:38:20
3,t6,2023-11-19 14:38:21
3,t7,2023-11-19 14:38:22
3,t3,2023-11-19 14:38:23
4,t13,2023-11-19 14:38:24
4,t4,2023-11-19 14:38:25
4,t14,2023-11-19 14:38:26
4,t11,2023-11-19 14:38:27
4,t15,2023-11-19 14:38:28
4,t5,2023-11-19 14:38:29
4,t1,2023-11-19 14:38:30
4,t6,2023-11-19 14:38:31
4,t7,2023-11-19 14:38:32
4,t3,2023-11-19 14:38:33
5,t9,2023-11-19 14:38:34
5,t10,2023-11-19 14:38:35
5,t4,2023-11-19 14:38:36
5,t11,2023-11-19 14:38:37
5,t12,2023-11-19 14:38:38
5,t5,2023-11-19 14:38:39
5,t1,2023-11-19 14:38:40
5,t6,2023-11-19 14:38:41
5,t7,2023-11-19 14:38:42
5,t8,2023-11-19 14:38:43
6,t9,2023-11-19 14:38:44
6,t4,2023-11-19 14:38:45
6,t10,2023-11-19 14:38:46
6,t11,2023-11-19 14:38:47
6,t12,2023-11-19 14:38:48
6,t5,2023-11-19 14:38:49
6,t1,2023-11-19 14:38:50
6,t6,2023-11-19 14:38:51
6,t7,2023-11-19 14:38:52
6,t8,2023-11-19 14:38:53
7,t13,2023-11-19 14:38:54
7,t14,2023-11-19 14:38:55
7,t4,2023-11-19 14:38:56
7,t11,2023-11-19 14:38:57
7,t15,2023-11-19 14:38:58
7,t5,2023-11-19 14:38:59
7,t1,2023-11-19 14:39:00
7,t6,2023-11-19 14:39:01
7,t7,2023-11-19 14:39:02
7,t8,2023-11-19 14:39:03
8,t13,2023-11-19 14:39:04
8,t14,2023-11-19 14:39:05
8,t4,2023-11-19 14:39:06
8,t11,2023-11-19 14:39:07
8,t15,2023-11-19 14:39:08
8,t5,2023-11-19 14:39:09
